invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74,7,7.0,7.0,2019-01-05,2024-01-26 13:00:00,Ewallet,7.0,7.0,7.0,7.0
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15,5,5.0,5.0,2019-03-08,2024-01-26 10:00:00,Cash,5.0,5.0,5.0,5.0
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46,7,7.0,7.0,2019-03-03,2024-01-26 13:00:00,Credit card,7.0,7.0,7.0,7.0
123-19-1176,A,Yangon,Member,Male,Health and beauty,58,8,8.0,8.0,2019-01-27,2024-01-26 20:00:00,Ewallet,8.0,8.0,8.0,8.0
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86,7,7.0,7.0,2019-02-08,2024-01-26 10:00:00,Ewallet,7.0,7.0,7.0,7.0
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85,7,7.0,7.0,2019-03-25,2024-01-26 18:00:00,Ewallet,7.0,7.0,7.0,7.0
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68,6,6.0,6.0,2019-02-25,2024-01-26 14:00:00,Ewallet,6.0,6.0,6.0,6.0
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73,10,10.0,10.0,2019-02-24,2024-01-26 11:00:00,Ewallet,10.0,10.0,10.0,10.0
665-32-9167,A,Yangon,Member,Female,Health and beauty,36,2,2.0,2.0,2019-01-10,2024-01-26 17:00:00,Credit card,2.0,2.0,2.0,2.0
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54,3,3.0,3.0,2019-02-20,2024-01-26 13:00:00,Credit card,3.0,3.0,3.0,3.0
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14,4,4.0,4.0,2019-02-06,2024-01-26 18:00:00,Ewallet,4.0,4.0,4.0,4.0
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25,4,4.0,4.0,2019-03-09,2024-01-26 17:00:00,Cash,4.0,4.0,4.0,4.0
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46,5,5.0,5.0,2019-02-12,2024-01-26 10:00:00,Ewallet,5.0,5.0,5.0,5.0
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43,10,10.0,10.0,2019-02-07,2024-01-26 16:00:00,Ewallet,10.0,10.0,10.0,10.0
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71,10,10.0,10.0,2019-03-29,2024-01-26 19:00:00,Cash,10.0,10.0,10.0,10.0
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93,6,6.0,6.0,2019-01-15,2024-01-26 16:00:00,Cash,6.0,6.0,6.0,6.0
656-95-9349,A,Yangon,Member,Female,Health and beauty,68,7,7.0,7.0,2019-03-11,2024-01-26 11:00:00,Credit card,7.0,7.0,7.0,7.0
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72,6,6.0,6.0,2019-01-01,2024-01-26 10:00:00,Credit card,6.0,6.0,6.0,6.0
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54,3,3.0,3.0,2019-01-21,2024-01-26 18:00:00,Credit card,3.0,3.0,3.0,3.0
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40,2,2.0,2.0,2019-03-11,2024-01-26 15:00:00,Ewallet,2.0,2.0,2.0,2.0
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86,5,5.0,5.0,2019-02-25,2024-01-26 11:00:00,Ewallet,5.0,5.0,5.0,5.0
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87,3,3.0,3.0,2019-03-05,2024-01-26 10:00:00,Ewallet,3.0,3.0,3.0,3.0
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33,2,2.0,2.0,2019-03-15,2024-01-26 12:00:00,Credit card,2.0,2.0,2.0,2.0
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34,5,5.0,5.0,2019-02-17,2024-01-26 11:00:00,Ewallet,5.0,5.0,5.0,5.0
549-59-1358,A,Yangon,Member,Male,Sports and travel,88,3,3.0,3.0,2019-03-02,2024-01-26 17:00:00,Ewallet,3.0,3.0,3.0,3.0
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52,8,8.0,8.0,2019-03-22,2024-01-26 19:00:00,Credit card,8.0,8.0,8.0,8.0
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33,1,1.0,1.0,2019-02-08,2024-01-26 15:00:00,Cash,1.0,1.0,1.0,1.0
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87,2,2.0,2.0,2019-03-10,2024-01-26 12:00:00,Credit card,2.0,2.0,2.0,2.0
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88,5,5.0,5.0,2019-01-25,2024-01-26 19:00:00,Cash,5.0,5.0,5.0,5.0
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24,9,9.0,9.0,2019-03-15,2024-01-26 15:00:00,Cash,9.0,9.0,9.0,9.0
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94,5,5.0,5.0,2019-02-25,2024-01-26 19:00:00,Credit card,5.0,5.0,5.0,5.0
